"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"10:34:46.1091825","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{AE50C081-EBD2-438A-8655-8A092E34987A}\FolderTypeID","NAME NOT FOUND","Length: 90"
"10:34:46.1091879","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{AE50C081-EBD2-438A-8655-8A092E34987A}\InitFolderHandler","NAME NOT FOUND","Length: 90"
"10:34:46.1091968","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{AE50C081-EBD2-438A-8655-8A092E34987A}","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:46.1092019","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{AE50C081-EBD2-438A-8655-8A092E34987A}\PropertyBag","NAME NOT FOUND","Desired Access: Read"
"10:34:46.1092089","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegCloseKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{AE50C081-EBD2-438A-8655-8A092E34987A}","SUCCESS",""
"10:34:46.1092192","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:46.1092240","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SessionInfo\1","SUCCESS","Desired Access: Query Value"
"10:34:46.1092334","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SessionInfo\1","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:46.1092383","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SessionInfo\1\KnownFolders","NAME NOT FOUND","Desired Access: Query Value"
"10:34:46.1092448","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegCloseKey","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SessionInfo\1","SUCCESS",""
